,program_id,project_id,major_id,program_name_th,program_type_name_th,major_name_th,project_name_th,min_score,max_score,min_score_ds,max_score_ds,est_min_score_mean,est_min_score_mean_sd,est_min_score_regression,receive_student_number,scores
0,10010121300001A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,ภาษาไทย ปกติ,0,0,53.961,83.5332,53.6832,83.5332,56.8051,57.9754,58.1936,380.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}"
1,10010121300501A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,ภาษาไทย ปกติ,0,0,72.4888,90.4218,72.2942,90.4218,75.6044,76.7622,76.9435,65.0,"{'tgat': 20, 'tpat3': 40, 'a_lv_61': 20, 'a_lv_64': 20}"
2,10010121300599A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,ภาษาไทย ปกติ,0,0,58.6944,78.8053,58.0222,78.8053,60.525,61.6857,63.5353,140.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 50}"
3,10010121301101A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,ภาษาไทย ปกติ,0,0,49.1275,53.4721,49.1275,53.4721,52.2494,53.4197,53.3586,25.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}"
4,10010121302101A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,ภาษาไทย ปกติ,0,0,58.5664,64.3274,58.5664,64.3274,61.6883,62.8586,63.3761,10.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}"
5,10010121302501A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,ภาษาไทย ปกติ,0,0,51.1498,53.6999,51.1498,53.6222,54.2717,55.442,55.5049,35.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}"
6,10010121302701A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ,ภาษาไทย ปกติ,0,0,51.1996,57.0996,50.9554,57.0996,54.2656,55.4234,54.8825,40.0,"{'tgat': 20, 'tpat3': 40, 'a_lv_61': 20, 'a_lv_64': 20}"
7,10010121302801A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,ภาษาไทย ปกติ,0,0,51.661,69.6887,51.4386,69.6887,54.5605,55.7308,55.8114,25.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}"
8,10010121303001A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี,ภาษาไทย ปกติ,0,0,51.3331,53.372,51.4831,53.372,54.605,55.7753,55.8586,25.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}"
9,10010121303501A,0,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,ภาษาไทย ปกติ,0,0,68.6332,78.5108,68.6332,78.5108,71.7551,72.9254,74.06,5.0,"{'tgat': 20, 'tpat3': 30, 'a_lv_61': 20, 'a_lv_64': 20, 'a_lv_65': 10}"
